2022-10-25 15:10:619 INFO  ManageDriver :32 - Launching Chrome Browser
2022-10-25 15:10:825 INFO  ManageDriver :32 - Launching Chrome Browser
2022-10-25 15:10:219 INFO  ManageDriver :32 - Launching Chrome Browser
2022-10-25 15:10:903 INFO  ManageDriver :32 - Launching Chrome Browser
2022-10-25 15:10:53 INFO  ManageDriver :32 - Launching Chrome Browser
2022-10-25 15:10:551 INFO  FindProductPage :49 - clicking on resources [[ChromeDriver: chrome on WINDOWS (515bce437b3d1df9354d041ba1880906)] -> xpath: //nav[@class='header-nav']/ul[1]/li[4]]<br>
2022-10-25 15:10:166 INFO  ManageDriver :32 - Launching Chrome Browser
2022-10-25 15:10:740 INFO  FindProductPage :55 - clicking on flex opretors [[ChromeDriver: chrome on WINDOWS (16cd00e4e8f69171dc8612d5f93981a4)] -> xpath: //nav[@class='header-nav']/ul[1]/li[2]]<br>
2022-10-27 00:10:222 INFO  ManageDriver :32 - Launching Chrome Browser
2022-10-27 00:10:76 INFO  ManageDriver :32 - Launching Chrome Browser
2022-10-27 00:10:712 INFO  ManageDriver :32 - Launching Chrome Browser
2022-10-27 00:10:972 INFO  ManageDriver :32 - Launching Chrome Browser
2022-10-27 00:10:394 INFO  ManageDriver :32 - Launching Chrome Browser
2022-10-27 00:10:735 INFO  FindProductPage :49 - clicking on resources [[ChromeDriver: chrome on WINDOWS (9e02057f17b50a598f9cbcf1ea83c993)] -> xpath: //nav[@class='header-nav']/ul[1]/li[4]]<br>
2022-10-27 00:10:672 INFO  ManageDriver :32 - Launching Chrome Browser
2022-10-27 00:10:216 INFO  FindProductPage :55 - clicking on flex opretors [[ChromeDriver: chrome on WINDOWS (6acb2f3ffb944403df21396f8ca6b3c2)] -> xpath: //nav[@class='header-nav']/ul[1]/li[2]]<br>
2022-10-27 14:10:660 INFO  ManageDriver :32 - Launching Chrome Browser
2022-10-27 14:10:871 INFO  ManageDriver :32 - Launching Chrome Browser
2022-10-27 14:10:616 INFO  ManageDriver :32 - Launching Chrome Browser
2022-10-27 14:10:570 INFO  ManageDriver :32 - Launching Chrome Browser
2022-10-27 14:10:909 INFO  ManageDriver :32 - Launching Chrome Browser
2022-10-27 14:10:733 INFO  FindProductPage :49 - clicking on resources [[ChromeDriver: chrome on WINDOWS (a7c3bb5b434275e4face690af7d1e7d7)] -> xpath: //nav[@class='header-nav']/ul[1]/li[4]]<br>
2022-10-27 14:10:103 INFO  ManageDriver :32 - Launching Chrome Browser
2022-10-27 14:10:330 INFO  FindProductPage :55 - clicking on flex opretors [[ChromeDriver: chrome on WINDOWS (4ae4aa1e21c43944de3b7ca672c1954f)] -> xpath: //nav[@class='header-nav']/ul[1]/li[2]]<br>
